sample_name;old_sample_name;flowcell;lane;BSF_name;data_source
MJ-19-14_DMSO_1h_A;;BSF_0601_H52WVBBXY;7;MJ_19_14_DMSO_A_S51402;bsf
MJ-19-14_DMSO_1h_A;;BSF_0614_H72MHBBXY;5;MJ_19_14_DMSO_A_S52352;bsf
MJ-19-14_DMSO_1h_B;;BSF_0601_H52WVBBXY;7;MJ_19_14_DMSO_B_S51403;bsf
MJ-19-14_DMSO_1h_B;;BSF_0614_H72MHBBXY;5;MJ_19_14_DMSO_B_S52351;bsf
MJ-19-14_dTAG7_1h_A;;BSF_0601_H52WVBBXY;7;MJ_19_14_1h_dTAG7_A_S51404;bsf
MJ-19-14_dTAG7_1h_A;;BSF_0614_H72MHBBXY;5;MJ_19_14_1h_dTAG7_A_S52354;bsf
MJ-19-14_dTAG7_1h_B;;BSF_0601_H52WVBBXY;7;MJ_19_14_1h_dTAG7_B_S51405;bsf
MJ-19-14_dTAG7_1h_B;;BSF_0614_H72MHBBXY;5;MJ_19_14_1h_dTAG7_B_S52353;bsf
MJ-19-14_DMSO_1h_merged;;BSF_0601_H52WVBBXY;7;MJ_19_14_DMSO_A_S51402;bsf
MJ-19-14_DMSO_1h_merged;;BSF_0614_H72MHBBXY;5;MJ_19_14_DMSO_A_S52352;bsf
MJ-19-14_DMSO_1h_merged;;BSF_0601_H52WVBBXY;7;MJ_19_14_DMSO_B_S51403;bsf
MJ-19-14_DMSO_1h_merged;;BSF_0614_H72MHBBXY;5;MJ_19_14_DMSO_B_S52351;bsf
MJ-19-14_dTAG7_1h_merged;;BSF_0601_H52WVBBXY;7;MJ_19_14_1h_dTAG7_A_S51404;bsf
MJ-19-14_dTAG7_1h_merged;;BSF_0614_H72MHBBXY;5;MJ_19_14_1h_dTAG7_A_S52354;bsf
MJ-19-14_dTAG7_1h_merged;;BSF_0601_H52WVBBXY;7;MJ_19_14_1h_dTAG7_B_S51405;bsf
MJ-19-14_dTAG7_1h_merged;;BSF_0614_H72MHBBXY;5;MJ_19_14_1h_dTAG7_B_S52353;bsf
MJ-17-76_DMSO_2h_merged;;BSF_0394_HN7F7BBXX;4;MJ_17_76_MED14_DMSO_A_S32542;bsf
MJ-17-76_DMSO_2h_merged;;BSF_0394_HN7F7BBXX;4;MJ_17_76_MED14_DMSO_B_S32543;bsf
MJ-17-76_dTAG7_2h_merged;;BSF_0394_HN7F7BBXX;4;MJ_17_76_MED14_2h_dTAG7_A_S32544;bsf
MJ-17-76_dTAG7_2h_merged;;BSF_0394_HN7F7BBXX;4;MJ_17_76_MED14_2h_dTAG7_B_S32545;bsf
MJ-19-30_DMSO_2h_A;;BSF_0647_HC2HVBBXY;7;MJ_19_30_2h_DMSO_A_S55009;bsf
MJ-19-30_DMSO_2h_A;;BSF_0647_HC2HVBBXY;8;MJ_19_30_2h_DMSO_A_S55009;bsf
MJ-19-30_DMSO_2h_B;;BSF_0647_HC2HVBBXY;7;MJ_19_30_2h_DMSO_B_S55002;bsf
MJ-19-30_DMSO_2h_B;;BSF_0647_HC2HVBBXY;8;MJ_19_30_2h_DMSO_B_S55002;bsf
MJ-19-30_NVP2_30min_A;;BSF_0647_HC2HVBBXY;7;MJ_19_30_30min_NVP2_A_S55005;bsf
MJ-19-30_NVP2_30min_A;;BSF_0647_HC2HVBBXY;8;MJ_19_30_30min_NVP2_A_S55005;bsf
MJ-19-30_NVP2_30min_B;;BSF_0647_HC2HVBBXY;7;MJ_19_30_30min_NVP2_B_S55008;bsf
MJ-19-30_NVP2_30min_B;;BSF_0647_HC2HVBBXY;8;MJ_19_30_30min_NVP2_B_S55008;bsf
MJ-19-30_dTAG7_2h_A;;BSF_0647_HC2HVBBXY;7;MJ_19_30_2h_dTAG7_A_S55004;bsf
MJ-19-30_dTAG7_2h_A;;BSF_0647_HC2HVBBXY;8;MJ_19_30_2h_dTAG7_A_S55004;bsf
MJ-19-30_dTAG7_2h_B;;BSF_0647_HC2HVBBXY;7;MJ_19_30_2h_dTAG7_B_S55007;bsf
MJ-19-30_dTAG7_2h_B;;BSF_0647_HC2HVBBXY;8;MJ_19_30_2h_dTAG7_B_S55007;bsf
MJ-19-30_dTAG7_NPV2_combo_A;;BSF_0647_HC2HVBBXY;7;MJ_19_30_2h_dTAG7_30min_NVP2_A_S55003;bsf
MJ-19-30_dTAG7_NPV2_combo_A;;BSF_0647_HC2HVBBXY;8;MJ_19_30_2h_dTAG7_30min_NVP2_A_S55003;bsf
MJ-19-30_dTAG7_NPV2_combo_B;;BSF_0647_HC2HVBBXY;7;MJ_19_30_2h_dTAG7_30min_NVP2_B_S55006;bsf
MJ-19-30_dTAG7_NPV2_combo_B;;BSF_0647_HC2HVBBXY;8;MJ_19_30_2h_dTAG7_30min_NVP2_B_S55006;bsf
MJ-19-30_DMSO_2h_merged;;BSF_0647_HC2HVBBXY;7;MJ_19_30_2h_DMSO_A_S55009;bsf
MJ-19-30_DMSO_2h_merged;;BSF_0647_HC2HVBBXY;8;MJ_19_30_2h_DMSO_A_S55009;bsf
MJ-19-30_DMSO_2h_merged;;BSF_0647_HC2HVBBXY;7;MJ_19_30_2h_DMSO_B_S55002;bsf
MJ-19-30_DMSO_2h_merged;;BSF_0647_HC2HVBBXY;8;MJ_19_30_2h_DMSO_B_S55002;bsf
MJ-19-30_NVP2_30min_merged;;BSF_0647_HC2HVBBXY;7;MJ_19_30_30min_NVP2_A_S55005;bsf
MJ-19-30_NVP2_30min_merged;;BSF_0647_HC2HVBBXY;8;MJ_19_30_30min_NVP2_A_S55005;bsf
MJ-19-30_NVP2_30min_merged;;BSF_0647_HC2HVBBXY;7;MJ_19_30_30min_NVP2_B_S55008;bsf
MJ-19-30_NVP2_30min_merged;;BSF_0647_HC2HVBBXY;8;MJ_19_30_30min_NVP2_B_S55008;bsf
MJ-19-30_dTAG7_2h_merged;;BSF_0647_HC2HVBBXY;7;MJ_19_30_2h_dTAG7_A_S55004;bsf
MJ-19-30_dTAG7_2h_merged;;BSF_0647_HC2HVBBXY;8;MJ_19_30_2h_dTAG7_A_S55004;bsf
MJ-19-30_dTAG7_2h_merged;;BSF_0647_HC2HVBBXY;7;MJ_19_30_2h_dTAG7_B_S55007;bsf
MJ-19-30_dTAG7_2h_merged;;BSF_0647_HC2HVBBXY;8;MJ_19_30_2h_dTAG7_B_S55007;bsf
MJ-19-30_dTAG7_NPV2_combo_merged;;BSF_0647_HC2HVBBXY;7;MJ_19_30_2h_dTAG7_30min_NVP2_A_S55003;bsf
MJ-19-30_dTAG7_NPV2_combo_merged;;BSF_0647_HC2HVBBXY;8;MJ_19_30_2h_dTAG7_30min_NVP2_A_S55003;bsf
MJ-19-30_dTAG7_NPV2_combo_merged;;BSF_0647_HC2HVBBXY;7;MJ_19_30_2h_dTAG7_30min_NVP2_B_S55006;bsf
MJ-19-30_dTAG7_NPV2_combo_merged;;BSF_0647_HC2HVBBXY;8;MJ_19_30_2h_dTAG7_30min_NVP2_B_S55006;bsf
